sample_index,is_warmup,device_id,channel,note,velocity,native_t0_ns,rust_t1_ns,rust_t2_ns,flutter_t3_ns,native_to_rust_entry_ns,rust_processing_ns,rust_exit_to_flutter_ns,total_ns,engine_event_count
73,false,5,9,36,26,146359582532604,146359583513281,146359583522292,146359583539006,980677,9011,16714,1006402,1
74,false,5,9,45,89,146359685194375,146359688492552,146359688509062,146359688613006,3298177,16510,103944,3418631,1
75,false,5,9,46,13,146359806076510,146359807936719,146359807955260,146359807987006,1860209,18541,31746,1910496,1
76,false,5,9,44,31,146359814362239,146359815550208,146359815559010,146359815578006,1187969,8802,18996,1215767,1
77,false,5,9,58,46,146359854368125,146359855678646,146359855696719,146359855723006,1310521,18073,26287,1354881,1
78,false,5,9,36,25,146359900988437,146359904492239,146359904500417,146359904517006,3503802,8178,16589,3528569,1
79,false,5,9,58,49,146359982820104,146359985052604,146359985073281,146359985107006,2232500,20677,33725,2286902,1
80,false,5,9,58,31,146360012576719,146360023163594,146360023180625,146360023208006,10586875,17031,27381,10631287,1
81,false,5,9,43,52,146360031360573,146360033907708,146360033916198,146360033933006,2547135,8490,16808,2572433,1
82,false,5,9,43,9,146360189399427,146360191554114,146360191570104,146360191598006,2154687,15990,27902,2198579,1
83,false,5,9,38,32,146360263194896,146360265743698,146360265753750,146360265771006,2548802,10052,17256,2576110,1
84,false,5,9,36,12,146360272785260,146360274295729,146360274306614,146360274329006,1510469,10885,22392,1543746,1
85,false,5,9,38,72,146360388124010,146360390019271,146360390042604,146360390082006,1895261,23333,39402,1957996,1
86,false,5,9,46,10,146360444506198,146360445614062,146360445621666,146360445637006,1107864,7604,15340,1130808,1
87,false,5,9,38,45,146360529323698,146360531504948,146360531527343,146360531569006,2181250,22395,41663,2245308,1
88,false,5,9,36,25,146360556499114,146360573573073,146360573588073,146360573628006,17073959,15000,39933,17128892,1
89,false,5,9,40,59,146360598306458,146360606605885,146360606615312,146360606632006,8299427,9427,16694,8325548,1
90,false,5,9,38,49,146360761115416,146360763339062,146360763358541,146360763395006,2223646,19479,36465,2279590,1
91,false,5,9,36,26,146360831472187,146360832978750,146360832993854,146360833020006,1506563,15104,26152,1547819,1
92,false,5,9,48,57,146360855379635,146360876334322,146360876348333,146360876374006,20954687,14011,25673,20994371,1
93,false,5,9,48,69,146360983012031,146360985413593,146360985432604,146360985467006,2401562,19011,34402,2454975,1
94,false,5,9,46,12,146360995833697,146361024684427,146361024691406,146361024707006,28850730,6979,15600,28873309,1
95,false,5,9,44,31,146361008652291,146361025315989,146361025319583,146361025331006,16663698,3594,11423,16678715,1
96,false,5,9,48,55,146361105067656,146361107031562,146361107041145,146361107059006,1963906,9583,17861,1991350,1
97,false,5,9,36,11,146361171848645,146361174611562,146361174621145,146361174639006,2762917,9583,17861,2790361,1
98,false,5,9,48,60,146361209286197,146361231643437,146361231652395,146361231671006,22357240,8958,18611,22384809,1
99,false,5,9,48,64,146361289758176,146361292426666,146361292445885,146361292480006,2668490,19219,34121,2721830,1
100,false,5,9,48,28,146361334684947,146361341029635,146361341043958,146361341070006,6344688,14323,26048,6385059,1
101,false,5,9,45,79,146361440510051,146361442619114,146361442639531,146361442673006,2109063,20417,33475,2162955,1
102,false,5,9,36,11,146361488269583,146361489144739,146361489152708,146361489168006,875156,7969,15298,898423,1
103,false,5,9,45,89,146361588955155,146361591228072,146361591248958,146361591288006,2272917,20886,39048,2332851,1
104,false,5,9,45,63,146361709877239,146361711663905,146361711683593,146361711715006,1786666,19688,31413,1837767,1
105,false,5,9,58,48,146361863166614,146361865471041,146361865491718,146361865523006,2304427,20677,31288,2356392,1
106,false,5,9,43,55,146362001060103,146362002773072,146362002789114,146362002821006,1712969,16042,31892,1760903,1
107,false,5,9,43,63,146362142791457,146362144687551,146362144704426,146362144732006,1896094,16875,27580,1940549,1
108,false,5,9,58,74,146362161460207,146362189293749,146362189307916,146362189329006,27833542,14167,21090,27868799,1
109,false,5,9,40,64,146362433717707,146362435757968,146362435778176,146362435829006,2040261,20208,50830,2111299,1
110,false,5,9,38,61,146362534190155,146362536464530,146362536483593,146362536517006,2274375,19063,33413,2326851,1
