sample_index,is_warmup,device_id,channel,note,velocity,native_t0_ns,rust_t1_ns,rust_t2_ns,flutter_t3_ns,native_to_rust_entry_ns,rust_processing_ns,rust_exit_to_flutter_ns,total_ns,engine_event_count
87,false,0,9,38,47,144229334522000,144229335523800,144229335525900,144229335528100,1001800,2100,2200,1006100,1
88,false,0,9,38,24,144229526744800,144229526885700,144229526888000,144229526890100,140900,2300,2100,145300,1
89,false,0,9,38,42,144229748746100,144229748870400,144229748872300,144229748874100,124300,1900,1800,128000,1
90,false,0,9,48,69,144230031072600,144230031275100,144230031277700,144230031280100,202500,2600,2400,207500,1
91,false,0,9,48,60,144230261907800,144230262492400,144230262494800,144230262497100,584600,2400,2300,589300,1
92,false,0,9,38,43,144230561261200,144230561388400,144230561390500,144230561393100,127200,2100,2600,131900,1
93,false,0,9,45,62,144230795318200,144230795478300,144230795480400,144230795483100,160100,2100,2700,164900,1
94,false,0,9,45,59,144231053622800,144231053765700,144231053768100,144231053770100,142900,2400,2000,147300,1
95,false,0,9,38,45,144231299553800,144231299695000,144231299696800,144231299699100,141200,1800,2300,145300,1
96,false,0,9,43,72,144231586111200,144231586289800,144231586292100,144231586295100,178600,2300,3000,183900,1
97,false,0,9,58,58,144231837657800,144231837822900,144231837825600,144231837828100,165100,2700,2500,170300,1
98,false,0,9,38,46,144232090029300,144232090172700,144232090175300,144232090178100,143400,2600,2800,148800,1
99,false,0,9,40,50,144232343077900,144232344260000,144232344262500,144232344265100,1182100,2500,2600,1187200,1
100,false,0,9,40,53,144232594692100,144232595225200,144232595227700,144232595230100,533100,2500,2400,538000,1
101,false,0,9,40,62,144232842054900,144232842203200,144232842205100,144232842207100,148300,1900,2000,152200,1
102,false,0,9,38,48,144233087655300,144233088247000,144233088254200,144233088266100,591700,7200,11900,610800,1
103,false,0,9,48,58,144233382976600,144233383094000,144233383096100,144233383098100,117400,2100,2000,121500,1
104,false,0,9,48,59,144233659964000,144233660100400,144233660102700,144233660105100,136400,2300,2400,141100,1
105,false,0,9,38,60,144234022094200,144234022234500,144234022236500,144234022239100,140300,2000,2600,144900,1
106,false,0,9,45,62,144234268399400,144234268960900,144234268963200,144234268965100,561500,2300,1900,565700,1
107,false,0,9,45,58,144234486091800,144234486231300,144234486233200,144234486235100,139500,1900,1900,143300,1
108,false,0,9,38,45,144234769674900,144234769800300,144234769802500,144234769805100,125400,2200,2600,130200,1
109,false,0,9,55,59,144235040576800,144235040990300,144235040992600,144235040995100,413500,2300,2500,418300,1
110,false,0,9,38,37,144235314836000,144235318709800,144235318712200,144235318715100,3873800,2400,2900,3879100,1
